tipo,descripcion
611611,Escuelas de arte del sector privado
611511,Escuelas del sector privado dedicadas a la enseñanza de oficios
611621,Escuelas de deporte del sector privado
611631,Escuelas de idiomas del sector privado
611512,Escuelas del sector público dedicadas a la enseñanza de oficios
611691,Servicios de profesores particulares
611698,Otros servicios educativos proporcionados por el sector privado
611622,Escuelas de deporte del sector público
611122,Escuelas de educación primaria del sector público
611311,Escuelas de educación superior del sector privado
611161,Escuelas de educación media superior del sector privado
611181,Escuelas del sector privado de educación para necesidades especiales
611421,Escuelas de computación del sector privado
611111,Escuelas de educación preescolar del sector privado
611171,Escuelas del sector privado que combinan diversos niveles de educación
611162,Escuelas de educación media superior del sector público
611151,Escuelas de educación media técnica terminal del sector privado
611182,Escuelas del sector público de educación para necesidades especiales
611112,Escuelas de educación preescolar del sector público
611172,Escuelas del sector público que combinan diversos niveles de educación
611612,Escuelas de arte del sector público
611699,Otros servicios educativos proporcionados por el sector público
611312,Escuelas de educación superior del sector público
611211,Escuelas de educación técnica superior del sector privado
611131,Escuelas de educación secundaria general del sector privado
611121,Escuelas de educación primaria del sector privado
611132,Escuelas de educación secundaria general del sector público
611142,Escuelas de educación secundaria técnica del sector público
611710,Servicios de apoyo a la educación
611431,Escuelas para la capacitación de ejecutivos del sector privado
611412,Escuelas comerciales y secretariales del sector público
611411,Escuelas comerciales y secretariales del sector privado
611632,Escuelas de idiomas del sector público
611152,Escuelas de educación media técnica terminal del sector público
611141,Escuelas de educación secundaria técnica del sector privado
611212,Escuelas de educación técnica superior del sector público
611422,Escuelas de computación del sector público
611432,Escuelas para la capacitación de ejecutivos del sector público
