tipo,descripcion
621511,Laboratorios médicos y de diagnóstico del sector privado
624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones
624211,Servicios de alimentación comunitarios prestados por el sector privado
623311,Asilos y otras residencias del sector privado para el cuidado de ancianos
621331,Consultorios de psicología del sector privado
621211,Consultorios dentales del sector privado
621111,Consultorios de medicina general del sector privado
621115,Clínicas de consultorios médicos del sector privado
621391,Consultorios de nutriólogos y dietistas del sector privado
621320,Consultorios de optometría
621610,Servicios de enfermería a domicilio
624198,Otros servicios de orientación y trabajo social prestados por el sector privado
621311,Consultorios de quiropráctica del sector privado
623991,Orfanatos y otras residencias de asistencia social del sector privado
623992,Orfanatos y otras residencias de asistencia social del sector público
624221,Refugios temporales comunitarios del sector privado
624212,Servicios de alimentación comunitarios prestados por el sector público
621112,Consultorios de medicina general del sector público
621910,Servicios de ambulancias
621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje"
621113,Consultorios de medicina especializada del sector privado
624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público
624411,Guarderías del sector privado
622112,Hospitales generales del sector público
624111,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado
624311,"Servicios de capacitación para el trabajo prestados por el sector privado para personas desempleadas, subempleadas o discapacitadas"
621398,Otros consultorios del sector privado para el cuidado de la salud
622311,Hospitales del sector privado de otras especialidades médicas
624412,Guarderías del sector público
624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados
624199,Otros servicios de orientación y trabajo social prestados por el sector público
621116,Clínicas de consultorios médicos del sector público
624222,Refugios temporales comunitarios del sector público
623211,Residencias del sector privado para el cuidado de personas con problemas de retardo mental
624312,"Servicios de capacitación para el trabajo prestados por el sector público para personas desempleadas, subempleadas o discapacitadas"
622111,Hospitales generales del sector privado
621491,Otros centros del sector privado para la atención de pacientes que no requieren hospitalización
624231,Servicios de emergencia comunitarios prestados por el sector privado
623221,Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicción
623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales"
621342,"Consultorios del sector público de audiología y de terapia ocupacional, física y del lenguaje"
621399,Otros consultorios del sector público para el cuidado de la salud
621114,Consultorios de medicina especializada del sector público
621992,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector público"
621512,Laboratorios médicos y de diagnóstico del sector público
621332,Consultorios de psicología del sector público
621411,Centros de planificación familiar del sector privado
621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos
621212,Consultorios dentales del sector público
621991,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector privado"
624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados
622312,Hospitales del sector público de otras especialidades médicas
623312,Asilos y otras residencias del sector público para el cuidado de ancianos
623222,Residencias del sector público para el cuidado de personas con problemas de trastorno mental y adicción
621492,Otros centros del sector público para la atención de pacientes que no requieren hospitalización
624232,Servicios de emergencia comunitarios prestados por el sector público
621422,Centros del sector público de atención médica externa para enfermos mentales y adictos
623212,Residencias del sector público para el cuidado de personas con problemas de retardo mental
622211,Hospitales psiquiátricos y para el tratamiento por adicción del sector privado
622212,Hospitales psiquiátricos y para el tratamiento por adicción del sector público
623112,"Residencias del sector público con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales"
621392,Consultorios de nutriólogos y dietistas del sector público
621412,Centros de planificación familiar del sector público
621312,Consultorios de quiropráctica del sector público
