tipo,descripcion
434225, Comercio al por mayor de equipo y material electrico
431110,Comercio al por mayor de abarrotes
431191,Comercio al por mayor de pan y pasteles
435319,Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales
434222,Comercio al por mayor de productos quimicos para la industria farmaceutica y para otro uso industrial
431212,Comercio al por mayor de vinos y licores
435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca"
434221,Comercio al por mayor de materiales metalicos para la construccion y la manufactura
435220,Comercio al por mayor de maquinaria y equipo para la industria manufacturera
434211,"Comercio al por mayor de cemento, tabique y grava"
434224,Comercio al por mayor de madera para la construccion y la industria
435311,"Comercio al por mayor de equipo de telecomunicaciones, fotografia y cinematografia"
435419,Comercio al por mayor de otra maquinaria y equipo de uso general
434313,Comercio al por mayor de desechos de vidrio
434314,Comercio al por mayor de desechos de plastico
431130,Comercio al por mayor de frutas y verduras frescas
434223,"Comercio al por mayor de envases en general, papel y carton para la industria"
432111,"Comercio al por mayor de fibras, hilos y telas"
431121,Comercio al por mayor de carnes rojas
437210,Intermediacion de comercio al por mayor exclusivamente a traves de Internet y otros medios electronicos
433410,Comercio al por mayor de articulos de papeleria
431213,Comercio al por mayor de cerveza
434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra"
434112,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas"
431160,Comercio al por mayor de leche y otros productos lacteos
431140,Comercio al por mayor de huevo
436111,Comercio al por mayor de camiones
431150,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos"
431199,Comercio al por mayor de otros alimentos
437111,"Intermediacion de comercio al por mayor de productos agropecuarios, excepto a traves de Internet y de otros medios electronicos"
433110,Comercio al por mayor de productos farmaceuticos
436112,"Comercio al por mayor de partes y refacciones nuevas para automoviles, camionetas y camiones"
434227,Comercio al por mayor de vidrios y espejos
435312,Comercio al por mayor de articulos y accesorios para diseno y pintura artistica
434226,Comercio al por mayor de pintura
437113,"Intermediacion de comercio al por mayor para productos de uso domestico y personal, excepto a traves de Internet y de otros medios electronicos"
433210,Comercio al por mayor de articulos de perfumeria y cosmeticos
432119,Comercio al por mayor de otros productos textiles
433313,Comercio al por mayor de articulos y aparatos deportivos
434228,Comercio al por mayor de ganado y aves en pie
434312,Comercio al por mayor de desechos de papel y de carton
434230,Comercio al por mayor de combustibles de uso industrial
431192,Comercio al por mayor de botanas y frituras
434219,"Comercio al por mayor de otros materiales para la construccion, excepto de madera y metalicos"
431211,Comercio al por mayor de bebidas no alcoholicas y hielo
432112,Comercio al por mayor de blancos
435313,"Comercio al por mayor de mobiliario, equipo e instrumental medico y de laboratorio"
434311,Comercio al por mayor de desechos metalicos
434240,Comercio al por mayor de articulos desechables
435412,Comercio al por mayor de mobiliario y equipo de oficina
432120,"Comercio al por mayor de ropa, bisuteria y accesorios de vestir"
431220,"Comercio al por mayor de cigarros, puros y tabaco"
433430,Comercio al por mayor de revistas y periodicos
433510,Comercio al por mayor de electrodomesticos menores y aparatos de linea blanca
431180,Comercio al por mayor de dulces y materias primas para reposteria
431122,Comercio al por mayor de carne de aves
433311,Comercio al por mayor de discos y casetes
434319,Comercio al por mayor de otros materiales de desecho
435411,"Comercio al por mayor de mobiliario, equipo, y accesorios de computo"
434229,Comercio al por mayor de otras materias primas para otras industrias
432130,Comercio al por mayor de calzado
433312,Comercio al por mayor de juguetes y bicicletas
431123,Comercio al por mayor de pescados y mariscos
431193,Comercio al por mayor de conservas alimenticias
435210,Comercio al por mayor de maquinaria y equipo para la construccion y la mineria
432113,Comercio al por mayor de cueros y pieles
433220,Comercio al por mayor de articulos de joyeria y relojes
431170,Comercio al por mayor de embutidos
431194,Comercio al por mayor de miel
433420,Comercio al por mayor de libros
437112,"Intermediacion de comercio al por mayor de productos para la industria, el comercio y los servicios, excepto a traves de Internet y de otros medios electronicos"
